english	japanese
rain falls over the city	雨が街に降る
bright sun warms the field	明るい太陽が野原を暖める
soft clouds cover the hills	柔らかな雲が丘を覆う
cold wind moves through town	冷たい風が町を通る
snow rests on quiet roofs	雪が静かな屋根に積もる
thunder rolls after sunset	日没後に雷が鳴る
clear skies follow the storm	嵐の後に晴れた空が続く
morning fog hides the river	朝の霧が川を隠す
light rain taps the window	小雨が窓をたたく
heavy clouds gather at noon	昼に厚い雲が集まる
warm air rises from the road	暖かい空気が道から上る
the forecast changes by evening	夕方までに予報が変わる
mist covers the mountain path	霧が山道を覆う
dry leaves move in the wind	乾いた葉が風で動く
a rainbow appears after rain	雨の後に虹が現れる
the storm fades before sunrise	日の出前に嵐が弱まる
small robots sort the mail	小さなロボットが郵便を分ける
new code runs on the server	新しいコードがサーバーで動く
the sensor logs clean data	センサーがきれいなデータを記録する
bright screens fill the lab	明るい画面が実験室を満たす
a model learns from signals	モデルが信号から学ぶ
fast networks link the office	速いネットワークが事務所をつなぐ
the chip saves battery power	チップが電池の力を節約する
quiet drones map the valley	静かなドローンが谷を地図にする
the database stores old records	データベースが古い記録を保存する
a camera tracks moving objects	カメラが動く物体を追跡する
the console prints a warning	コンソールが警告を表示する
fresh updates improve the app	新しい更新がアプリを改善する
the keyboard clicks late at night	夜遅くにキーボードが鳴る
a router sends packets quickly	ルーターがパケットを素早く送る
the robot lifts a small box	ロボットが小さな箱を持ち上げる
the browser opens a local page	ブラウザーがローカルページを開く
old poems travel through time	古い詩が時を越えて旅する
the museum keeps quiet stories	博物館が静かな物語を保つ
music fills the evening room	音楽が夕方の部屋を満たす
a painter studies warm light	画家が暖かい光を観察する
history lives in city streets	歴史が街の通りに息づく
books carry careful arguments	本が丁寧な議論を運ぶ
the theater opens after dusk	劇場が夕暮れ後に開く
letters preserve distant voices	手紙が遠い声を残す
a scholar reads the ancient text	学者が古い文章を読む
the choir practices before dawn	合唱団が夜明け前に練習する
painted walls show village life	描かれた壁が村の暮らしを示す
the library closes after sunset	図書館が日没後に閉まる
a novel follows a long journey	小説が長い旅をたどる
the archive protects fragile maps	資料館が壊れやすい地図を守る
actors rehearse under soft lamps	俳優が柔らかな灯りの下で稽古する
a lecture begins in the hall	講義がホールで始まる
fresh bread cools on the table	焼きたてのパンがテーブルで冷める
children draw shapes with chalk	子どもたちがチョークで形を描く
the train stops near the river	列車が川の近くで止まる
a quiet street turns toward home	静かな通りが家へ向かう
morning tea waits in the kitchen	朝のお茶が台所で待つ
the market opens before sunrise	市場が日の出前に開く
neighbors talk across the fence	隣人が柵越しに話す
a letter arrives before noon	手紙が正午前に届く
the garden grows after rain	庭が雨の後に育つ
small waves touch the shore	小さな波が岸に触れる
green leaves move in the wind	緑の葉が風で動く
warm soup waits on the stove	暖かいスープがコンロで待つ
the window opens to the sea	窓が海へ開く
